Symbol,industry
JKPAPER.NS,Paper & Paper Products
IRMENERGY.NS,Utilities - Regulated Gas
MAHLIFE.NS,Real Estate—Development
JETAIRWAYS.NS,Airlines
MSUMI.NS,Auto Parts
FEDFINA.NS,Credit Services
IRB.NS,Infrastructure Operations
PHOENIXLTD.NS,Real Estate—Diversified
TATATECH.NS,Information Technology Services
MUKANDLTD.NS,Steel
MALLCOM.NS,Security & Protection Services
SUNTECK.NS,Real Estate—Development
RADIOCITY.NS,Broadcasting
PATELENG.NS,Engineering & Construction
NFL.NS,Agricultural Inputs
JTLIND.NS,Steel
PETRONET.NS,Oil & Gas Refining & Marketing
HINDCOPPER.NS,Copper
URJA.NS,Solar
TIINDIA.NS,Auto Parts
TDPOWERSYS.NS,Specialty Industrial Machinery
VINYLINDIA.NS,Specialty Chemicals
MANALIPETC.NS,Specialty Chemicals
SBILIFE.NS,Insurance—Life
THEMISMED.NS,Drug Manufacturers—Specialty & Generic
NRBBEARING.NS,Auto Parts
CIEINDIA.NS,Auto Parts
LUMAXTECH.NS,Auto Parts
SHAKTIPUMP.NS,Specialty Industrial Machinery
MANINDS.NS,Steel
METROPOLIS.NS,Diagnostics & Research
TRITURBINE.NS,Specialty Industrial Machinery
STEELXIND.NS,Steel
MAHABANK.NS,Banks—Regional
JPPOWER.NS,Utilities—Independent Power Producers
KTKBANK.NS,Banks—Regional
SPARC.NS,Drug Manufacturers—Specialty & Generic
JSL.NS,Steel
ZFCVINDIA.NS,Auto Parts
RTNPOWER.NS,Utilities—Renewable
DEN.NS,Entertainment
NLCINDIA.NS,Utilities—Regulated Electric
ENDURANCE.NS,Auto Parts
JKCEMENT.NS,Building Materials
KPITTECH.NS,Information Technology Services
USK.NS,
DEEPAKNTR.NS,Chemicals
NMDC.NS,Steel
SYMPHONY.NS,Furnishings, Fixtures & Appliances
REDINGTON.NS,Information Technology Services
MANKIND.NS,
ROUTE.NS,Telecom Services
JSWSTEEL.NS,Steel
KPRMILL.NS,Apparel Manufacturing
SADHNANIQ.NS,
WEBELSOLAR.NS,Solar
INDIGRID.NS,
PTC.NS,Utilities—Independent Power Producers
ARTEMISMED.NS,N/A
USHAMART.NS,Steel
UFO.NS,Entertainment
GODREJIND.NS,Conglomerates
DBREALTY.NS,Real Estate—Development
SUNTV.NS,Broadcasting
SARVESHWAR.NS,Packaged Foods
RADICO.NS,Beverages—Wineries & Distilleries
FIVESTAR.NS,Credit Services
TAJGVK.NS,Lodging
IDFC.NS,Asset Management
NATIONALUM.NS,Aluminum
NAVNETEDUL.NS,Publishing
UNIONBANK.NS,Banks—Regional
SPANDANA.NS,Credit Services
NILASPACES.NS,Real Estate—Development
MASTEK.NS,Information Technology Services
GSLSU.NS,
GOACARBON.NS,Specialty Chemicals
KSB.NS,Specialty Industrial Machinery
NYKAA.NS,Internet Retail
DELTACORP.NS,Resorts & Casinos
VIKASLIFE.NS,Specialty Chemicals
SADBHAV.NS,Engineering & Construction
PARADEEP.NS,Agricultural Inputs
TRIVENI.NS,Confectioners
NELCO.NS,Communication Equipment
SPORTKING.NS,Textile Manufacturing
WELENT.NS,Engineering & Construction
TTML.NS,Telecom Services
MTNL.NS,Telecom Services
LEMONTREE.NS,Lodging
LUMAXIND.NS,Auto Parts
MOL.NS,Agricultural Inputs
WESTLIFE.NS,Restaurants
DATAMATICS.NS,Information Technology Services
KRSNAA.NS,Diagnostics & Research
FUSION.NS,Credit Services
PENINLAND.NS,Real Estate—Development
KIMS.NS,Medical Care Facilities
PNBGILTS.NS,Capital Markets
SAGCEM.NS,Building Materials
VENUSPIPES.NS,Steel
RITCO.NS,Integrated Freight & Logistics
TV18BRDCST.NS,Broadcasting
LANDMARK.NS,
DWARKESH.NS,Confectioners
MFSL.NS,Insurance—Life
SATIA.NS,Paper & Paper Products
GMRINFRA.NS,Airports & Air Services
MANGLMCEM.NS,Building Materials
EMUDHRA.NS,Software—Application
XCHANGING.NS,Information Technology Services
VISHWARAJ.NS,Confectioners
SHARDAMOTR.NS,Auto Parts
IIFL.NS,Credit Services
KBCGLOBAL.NS,Real Estate—Development
TATAMTRDVR.NS,Auto Manufacturers
IGL.NS,Utilities—Regulated Gas
SYRMA.NS,Electronic Components
IKIO.NS,
SETFNIF50.NS,
SKYGOLD.NS,
SATIN.NS,Credit Services
POLICYBZR.NS,Insurance Brokers
GALLANTT.NS,Steel
PATANJALI.NS,Packaged Foods
TIPSINDLTD.NS,Entertainment
INOXGREEN.NS,Utilities—Renewable
MADRASFERT.NS,Agricultural Inputs
ASTEC.NS,Agricultural Inputs
HARIOMPIPE.NS,Steel
SHRIPISTON.NS,Auto Parts
MTARTECH.NS,Specialty Industrial Machinery
METROBRAND.NS,Footwear & Accessories
RENUKA.NS,Confectioners
EVEREADY.NS,Electrical Equipment & Parts
NEOGEN.NS,Specialty Chemicals
ALOKINDS.NS,Textile Manufacturing
PANACEABIO.NS,Biotechnology
TEXINFRA.NS,Real Estate Services
PPL.NS,Building Products & Equipment
SFL.NS,Furnishings, Fixtures & Appliances
JUBLINGREA.NS,Biotechnology
TRU.NS,Credit Services
PGINVIT-IV.NS,
RAMAPHO.NS,Agricultural Inputs
MRPL.NS,Oil & Gas Refining & Marketing
SIL.NS,Textile Manufacturing
HATHWAY.NS,Entertainment
